CaseNbr	Category	latitude	longitude	time
1303269	THEFT-GRAND	34.020146	-118.287264	735475.587500
1303296	THEFT-MOTOR VEHICLE	34.016846	-118.252855	735477.083333
1303320	ROBBERY	34.055595	-118.205028	735477.812500
1303345	THEFT-MOTOR VEHICLE	34.024789	-118.289427	735478.875000
1303420	THEFT-PETTY	34.020598	-118.286592	735484.625000
1303510	ALARM RESPONSE	34.019354	-118.287085	735487.930556
1303517	THEFT-MOTOR VEHICLE	34.060845	-118.206386	735483.715278
1303641	THEFT-MOTOR VEHICLE	34.031863	-118.290133	735493.916667
1303642	THEFT-MOTOR VEHICLE	34.033021	-118.278718	735488.750000
1303754	THEFT-MOTOR VEHICLE	34.030437	-118.285199	735498.458333
1303800	THEFT-PETTY	34.020598	-118.286592	735502.529167
1303810	THEFT-MOTOR VEHICLE	34.018303	-118.283409	735502.291667
1303873	THEFT-GRAND	34.021765	-118.282861	735507.625000
1303965	THEFT-MOTOR VEHICLE	34.026672	-118.284165	735512.666667
1304128	THEFT-MOTOR VEHICLE	34.022083	-118.281584	735518.333333
1304140	THEFT-GRAND	34.025646	-118.296234	735521.413889
1304141	THEFT-MOTOR VEHICLE	34.062935	-118.201393	735521.609028
1401885	TRESPASS	34.019274	-118.290295	735733.906250
1401920	TRESPASS	34.021447	-118.281706	735736.531250
1401950	TRESPASS	34.027370	-118.288400	735738.892361
1401984	TRESPASS	0.000000	-0.000000	735742.360417
1402009	VEHICLE CODE	34.035189	-118.283999	735745.063889
1402086	PROPERTY	34.019247	-118.276105	735752.791667
1402088	TRESPASS	34.018665	-118.286794	735754.243056
1402098	PROPERTY	34.020289	-118.290330	735753.458333
1402138	TRESPASS	34.023349	-118.284754	735757.905556
1402181	TRESPASS	34.021301	-118.288016	735762.666667
1402212	TRESPASS	34.027339	-118.273240	735766.918056
1402229	TRESPASS	34.022462	-118.282254	735768.586111
1402232	TRESPASS	34.021461	-118.288965	735768.911111
1402239	TRESPASS	34.019500	-118.280089	735769.561111
1402245	TRESPASS	34.022083	-118.281584	735769.958333
1402262	TRESPASS	34.020159	-118.283717	735771.375000
1402263	PROPERTY	34.021461	-118.288965	735771.506944
1402289	TRESPASS	34.021765	-118.282861	735774.444444
1402337	PROPERTY	34.031752	-118.288633	735778.520833
1402350	TRESPASS	34.087367	-118.217482	735779.250000
1402383	TRESPASS	34.020159	-118.283717	735783.437500
1402390	TRESPASS	34.027370	-118.288400	735783.975694
1402442	TRESPASS	34.025646	-118.296234	735790.270833
1402462	PROPERTY	34.021301	-118.288016	735791.770833
1402467	TRESPASS	34.060235	-118.204455	735793.003472
1402472	FIRE	34.027390	-118.280440	735793.737500
1304299	THEFT-GRAND AUTO	34.024789	-118.289427	735530.201389
1304366	PROPERTY	34.026267	-118.288365	735533.770139
1304476	BURGLARY	34.065366	-118.195863	735538.572917
1304500	PROPERTY	34.025524	-118.287581	735537.999306
1304513	ROBBERY	34.029222	-118.279192	735539.929167
1304549	BURGLARY	34.022195	-118.296303	735543.694444
1304559	PROPERTY	34.020289	-118.290330	735540.791667
1304568	BURGLARY	34.024623	-118.287701	735542.875000
1304627	THEFT-GRAND AUTO	34.019500	-118.280089	735548.937500
1304790	THEFT-GRAND AUTO	34.018303	-118.283409	735555.815972
1304797	THEFT-GRAND AUTO	34.028540	-118.282420	735553.937500
1304916	BURGLARY	34.027300	-118.289920	735560.750000
1304928	THEFT-GRAND AUTO	34.027314	-118.300202	735561.851389
1304977	THEFT-GRAND AUTO	34.026453	-118.284165	735564.604167
1304991	BURGLARY	34.021461	-118.288965	735565.083333
1305005	ROBBERY	34.018303	-118.283409	735567.131250
1305008	BURGLARY	0.000000	-0.000000	735565.770833
1305014	BURGLARY	34.033050	-118.281630	735565.666667
1305026	BURGLARY	34.020093	-118.287066	735568.690972
1305148	PROPERTY	34.026672	-118.284165	735574.583333
1305150	THEFT-GRAND AUTO	34.018303	-118.283409	735574.733333
1305156	SERVICE	34.023991	-118.286299	735575.673611
1305211	THEFT-GRAND AUTO	34.030766	-118.274381	735580.454861
1305216	PROPERTY	34.020289	-118.290330	735580.718750
1305245	BURGLARY	34.059829	-118.204808	735583.849306
1305264	PROPERTY	34.066581	-118.196010	735585.354167
1305281	ROBBERY	34.025167	-118.276568	735586.947917
1303371	VEHICLE CODE	34.025646	-118.296234	735482.194444
1303450	VEHICLE CODE	34.098029	-118.205588	735486.538194
1303561	NARCOTICS	34.024916	-118.288297	735490.885417
1303577	SEX OFFENSE	34.013841	-118.282965	735491.540278
1303583	SERVICE	34.021153	-118.283985	735491.675694
1303633	VEHICLE CODE	34.062052	-118.201433	735493.500000
1303656	NARCOTICS	0.000000	-0.000000	735495.009028
1303658	VEHICLE CODE	34.026453	-118.284165	735495.302083
1303674	FIRE	34.026016	-118.275829	735495.996528
1303779	VEHICLE CODE	34.022628	-118.283844	735501.037500
1303790	FIRE	34.027250	-118.280160	735501.854167
1303838	VEHICLE CODE	0.000000	-0.000000	735505.020833
1303919	FIRE	34.060762	-118.205804	735510.246528
1303926	VEHICLE CODE	34.028206	-118.285138	735510.861111
1304020	SERVICE	34.024916	-118.288297	735515.791667
1304057	VEHICLE CODE	34.019742	-118.277213	735517.725694
1304071	VEHICLE CODE	34.026684	-118.281777	735518.333333
1304104	WARRANT	34.117195	-118.290978	735519.930556
1304120	NARCOTICS	0.000000	-0.000000	735520.812500
1304167	NARCOTICS	34.026267	-118.288365	735522.934028
1304248	VEHICLE CODE	0.000000	-0.000000	735527.520139
1304269	NARCOTICS	34.021475	-118.282179	735528.805556
1304326	WARRANT	34.027432	-118.287786	735531.518750
1304351	WARRANT	34.020950	-118.294391	735532.861111
1304357	TRAFFIC	34.028540	-118.282420	735533.416667
1304451	SERVICE	34.012935	-118.257468	735537.484028
1304452	SERVICE	34.012935	-118.257468	735537.543750
1305286	BURGLARY	34.032663	-118.287741	735574.375000
1305297	PROPERTY	34.061739	-118.202425	735588.791667
1305323	ROBBERY	34.030130	-118.281160	735593.802083
1305325	BURGLARY	34.032442	-118.288633	735588.812500
1400004	BURGLARY	34.022963	-118.293011	735591.666667
1400015	BURGLARY	34.030130	-118.281160	735238.274306
1400020	THEFT-GRAND AUTO	34.029121	-118.300197	735605.094444
1400029	BURGLARY	34.026346	-118.255092	735605.966667
1400083	BURGLARY	34.033517	-118.282649	735590.458333
1400179	SERVICE	34.062052	-118.201433	735617.656944
1400230	BURGLARY	34.021364	-118.286433	735622.458333
1400254	PROPERTY	34.024611	-118.281022	735622.458333
1400255	THEFT-GRAND AUTO	34.087367	-118.217482	735623.456944
1400277	BURGLARY	34.025683	-118.281655	735625.270833
1400284	BURGLARY	34.034470	-118.280610	735624.645833
1400368	BURGLARY	34.021935	-118.280085	735631.531250
1400401	PROPERTY	34.064421	-118.202333	735633.375000
1400403	BURGLARY	34.032928	-118.276850	735630.833333
1400407	BURGLARY	34.026930	-118.279470	735633.791667
1400453	BURGLARY	34.022515	-118.291724	735636.604167
1400535	PROPERTY	34.019871	-118.286099	735642.625000
1400537	PROPERTY	34.017516	-118.254385	735642.750000
1400586	PROPERTY	34.030295	-118.281556	735645.909722
1400601	BURGLARY	34.028263	-118.288964	735645.375000
1400603	BURGLARY	34.019122	-118.290751	735644.416667
1400621	THEFT-GRAND AUTO	34.025646	-118.296234	735648.645833
1400913	BURGLARY	34.030130	-118.281160	735668.174306
1303785	SERVICE	34.019871	-118.286099	735501.437500
1303799	SERVICE	34.021945	-118.283807	735502.504167
1303804	SERVICE	34.062399	-118.202007	735502.575694
1303822	BATTERY	34.029017	-118.283938	735504.083333
1303831	SERVICE	34.032928	-118.276850	735504.784028
1303849	BATTERY	34.026400	-118.278300	735505.989583
1303855	BATTERY	34.029734	-118.285370	735506.656250
1303858	BATTERY	34.021935	-118.280085	735505.958333
1303868	SERVICE	34.024775	-118.287983	735507.525694
1303882	SERVICE	34.019247	-118.276105	735508.402778
1303917	SERVICE	34.062052	-118.201433	735509.892361
1303924	SERVICE	34.062580	-118.202705	735510.627083
1303975	FIRE	34.062052	-118.201433	735513.631250
1303978	BATTERY	34.026130	-118.277130	735513.779167
1303985	SERVICE	34.062580	-118.202705	735514.581944
1304007	SERVICE	34.028440	-118.280744	735515.510417
1304030	SERVICE	34.062399	-118.202007	735516.722222
1304042	SERVICE	34.021364	-118.286433	735517.361111
1304054	BATTERY	34.027339	-118.273240	735517.944444
1304074	SERVICE	34.062052	-118.201433	735518.402778
1304081	SERVICE	34.062052	-118.201433	735518.806250
1304086	BATTERY	34.027731	-118.281040	735519.043056
